construct,split,decoupling_axis,n,accuracy,mean_signed_logit_diff,signed_logit_diff_se,signed_logit_diff_ci_low,signed_logit_diff_ci_high,behavior_status
certainty,decoupling,contrast,12,0.75,0.6281798680623373,1.048285486677072,-1.3676421244939168,2.584120504061381,usable
certainty,decoupling,format_shift,12,0.5833333333333334,0.30936139822006226,1.021592431795233,-1.5341321796178817,2.272697459657987,usable
certainty,decoupling,lexical_reversal,12,0.5,0.16820025444030762,0.665661975866364,-0.9322701076666514,1.5623771230379735,behavior_absent_or_weak
certainty,decoupling,negation,12,0.6666666666666666,-0.16234143575032553,0.723183835802709,-1.5713245451450346,1.0214989006519315,behavior_absent_or_weak
certainty,decoupling,quotation,12,0.5,0.18404364585876465,0.8469278233344668,-1.3421373546123505,1.725906260808309,behavior_absent_or_weak
certainty,heldout,ordinary,36,0.6388888888888888,0.9092702865600586,0.44400016927008307,0.05999521215756734,1.7286984993351828,usable
certainty,train,ordinary,60,0.6166666666666667,0.6284661372502645,0.28900276715505235,0.055441012581189476,1.182590542435646,usable
sentiment,decoupling,contrast,12,0.4166666666666667,-0.4627400239308675,0.3632917231030778,-1.1567467629909514,0.23877942363421117,behavior_absent_or_weak
sentiment,decoupling,format_shift,12,0.5,0.5936665534973145,0.9314472722099664,-1.1447600424289703,2.339711843927701,behavior_absent_or_weak
sentiment,decoupling,lexical_reversal,12,0.5833333333333334,0.4897017478942871,0.5331503522163197,-0.47491667071978255,1.524909685055415,usable
sentiment,decoupling,negation,12,0.75,0.8223810990651449,0.6076621473188941,-0.34193633596102396,1.9173596878846486,usable
sentiment,decoupling,quotation,12,0.6666666666666666,0.658262292544047,0.6847329798100902,-0.6532569080591202,1.894520902633667,usable
sentiment,heldout,ordinary,36,0.5555555555555556,0.6294815672768487,0.36601878901987056,-0.03953341477447084,1.3667262812455494,usable
sentiment,train,ordinary,60,0.65,0.966563606262207,0.2898357852634937,0.4046045645078023,1.5310591191053389,usable
