construct,method,baseline_type,split,decoupling_axis,layer,n,accuracy,mean_signed_projection,signed_projection_se
certainty,direction,direction,train,ordinary,0,60,0.6666666666666666,0.3885679853459199,0.14712433686231452
certainty,direction,direction,train,ordinary,1,60,0.6833333333333333,0.4526666708290577,0.14862442488920694
certainty,direction,direction,train,ordinary,2,60,0.65,0.6148707884053389,0.19301932831325247
certainty,direction,direction,train,ordinary,3,60,0.6666666666666666,0.8822981429596742,0.28989478391448253
certainty,direction,direction,train,ordinary,4,60,0.6166666666666667,1.1224711080392202,0.4087687858212653
certainty,direction,direction,train,ordinary,5,60,0.6833333333333333,1.4052687083681425,0.45743364542385384
certainty,direction,direction,train,ordinary,6,60,0.75,2.4321094272037347,0.44118693643886037
certainty,direction,direction,train,ordinary,7,60,0.75,3.4256474753220876,0.5896519224384023
certainty,direction,direction,train,ordinary,8,60,0.8166666666666667,4.8264338632424675,0.732068202332487
certainty,direction,direction,train,ordinary,9,60,0.7833333333333333,6.739457738399506,1.0469600065309184
certainty,direction,direction,train,ordinary,10,60,0.7666666666666667,8.673081963260968,1.4637761134908902
certainty,direction,direction,train,ordinary,11,60,0.7,11.069556935628254,3.097378372285734
certainty,direction,random_direction,train,ordinary,0,60,0.5166666666666667,-0.0018714685388742246,0.06756470702989521
certainty,direction,random_direction,train,ordinary,1,60,0.5,0.02825333847221074,0.09581018323387645
certainty,direction,random_direction,train,ordinary,2,60,0.48333333333333334,-0.0038554488482089614,0.0943688332244593
certainty,direction,random_direction,train,ordinary,3,60,0.4666666666666667,-0.01281596312881192,0.12223773984475074
certainty,direction,random_direction,train,ordinary,4,60,0.48333333333333334,-0.06500930754607924,0.10277398369601765
certainty,direction,random_direction,train,ordinary,5,60,0.5666666666666667,0.003676182982118159,0.1663140600475902
certainty,direction,random_direction,train,ordinary,6,60,0.5166666666666667,0.03467052872787901,0.2886773541942794
certainty,direction,random_direction,train,ordinary,7,60,0.48333333333333334,0.18880716584749122,0.5018758530363384
certainty,direction,random_direction,train,ordinary,8,60,0.5333333333333333,0.09885774458909376,0.25029039841557327
certainty,direction,random_direction,train,ordinary,9,60,0.48333333333333334,0.0673515450049888,0.4291578268758772
certainty,direction,random_direction,train,ordinary,10,60,0.55,0.22854206215833048,0.5090572878234876
certainty,direction,random_direction,train,ordinary,11,60,0.48333333333333334,-0.058979379509018014,0.440119363186672
certainty,direction,shuffled_label_direction,train,ordinary,0,60,0.5,0.028319239616394043,1.6864396929820669
certainty,direction,shuffled_label_direction,train,ordinary,1,60,0.5,-0.011825752258300782,1.8159515239886346
certainty,direction,shuffled_label_direction,train,ordinary,2,60,0.5,0.010083595911661783,1.8303636569355317
certainty,direction,shuffled_label_direction,train,ordinary,3,60,0.5,0.02597625255584717,1.7522349135561284
certainty,direction,shuffled_label_direction,train,ordinary,4,60,0.5,0.07282174825668335,1.66357647256853
certainty,direction,shuffled_label_direction,train,ordinary,5,60,0.5,0.09388166020313898,1.6396301096042147
certainty,direction,shuffled_label_direction,train,ordinary,6,60,0.5166666666666667,0.19617463847001393,1.8367641727957076
certainty,direction,shuffled_label_direction,train,ordinary,7,60,0.48333333333333334,0.26365184734265007,2.0286926549380033
certainty,direction,shuffled_label_direction,train,ordinary,8,60,0.5166666666666667,0.09866544206937154,2.2785889164984194
certainty,direction,shuffled_label_direction,train,ordinary,9,60,0.5166666666666667,0.13118095596631368,2.5421269064947905
certainty,direction,shuffled_label_direction,train,ordinary,10,60,0.5166666666666667,0.19686354001363118,3.2061600769798417
certainty,direction,shuffled_label_direction,train,ordinary,11,60,0.5,0.7877525885899862,5.194849657919934
certainty,direction,direction,heldout,ordinary,0,36,0.5555555555555556,0.3326958190235827,0.2064356571313016
certainty,direction,direction,heldout,ordinary,1,36,0.7222222222222222,0.3685077681309647,0.10917481701787907
certainty,direction,direction,heldout,ordinary,2,36,0.6388888888888888,0.3921058666374948,0.17246797730488897
certainty,direction,direction,heldout,ordinary,3,36,0.6666666666666666,0.6152845256858401,0.3288958277731236
certainty,direction,direction,heldout,ordinary,4,36,0.5555555555555556,0.7949053463008668,0.46470760151604246
certainty,direction,direction,heldout,ordinary,5,36,0.6111111111111112,1.0404823174079258,0.5228234971690318
certainty,direction,direction,heldout,ordinary,6,36,0.7222222222222222,1.848996438913875,0.49258024811364903
