construct,method,baseline_type,split,decoupling_axis,layer,n,accuracy,mean_signed_projection,signed_projection_se
sentiment,direction,direction,train,ordinary,0,60,0.5833333333333334,0.9591385463873545,0.5249897198079372
sentiment,direction,direction,train,ordinary,1,60,0.55,1.1467033772418895,0.628746864820287
sentiment,direction,direction,train,ordinary,2,60,0.6833333333333333,1.549284310018023,0.6108690617406743
sentiment,direction,direction,train,ordinary,3,60,0.7333333333333333,2.115068203707536,0.5578301344331189
sentiment,direction,direction,train,ordinary,4,60,0.8,2.6673546895384788,0.5400611232743028
sentiment,direction,direction,train,ordinary,5,60,0.8,3.3553797867149115,0.5924669900294616
sentiment,direction,direction,train,ordinary,6,60,0.8666666666666667,4.543582183122635,0.6465185028245752
sentiment,direction,direction,train,ordinary,7,60,0.8333333333333334,6.094395272930464,0.8466660313566218
sentiment,direction,direction,train,ordinary,8,60,0.85,7.80354962448279,1.010786122655247
sentiment,direction,direction,train,ordinary,9,60,0.8333333333333334,10.60863128999869,1.4523719095059944
sentiment,direction,direction,train,ordinary,10,60,0.8333333333333334,13.082792584101359,1.8688868481192635
sentiment,direction,direction,train,ordinary,11,60,0.7166666666666667,15.674469590187073,2.634303478288323
sentiment,direction,random_direction,train,ordinary,0,60,0.5333333333333333,0.04482606230024062,0.07323966728173491
sentiment,direction,random_direction,train,ordinary,1,60,0.5,0.012107267884348625,0.05084131938554717
sentiment,direction,random_direction,train,ordinary,2,60,0.4166666666666667,-0.04031781845025185,0.10834064388066451
sentiment,direction,random_direction,train,ordinary,3,60,0.45,-0.1017939553777269,0.12434405969911354
sentiment,direction,random_direction,train,ordinary,4,60,0.4666666666666667,-0.005864652678735638,0.16489908206351356
sentiment,direction,random_direction,train,ordinary,5,60,0.45,0.03145844039946751,0.1263087630348744
sentiment,direction,random_direction,train,ordinary,6,60,0.5833333333333334,0.3696626990288924,0.27775883059477424
sentiment,direction,random_direction,train,ordinary,7,60,0.5333333333333333,0.19124903203250426,0.3154926880452851
sentiment,direction,random_direction,train,ordinary,8,60,0.5833333333333334,0.3161226731329074,0.227215229265701
sentiment,direction,random_direction,train,ordinary,9,60,0.6666666666666666,0.9036180549382337,0.3210151100708782
sentiment,direction,random_direction,train,ordinary,10,60,0.5166666666666667,0.5531355537839432,0.2958754265307758
sentiment,direction,random_direction,train,ordinary,11,60,0.48333333333333334,0.12354808106336908,0.4680575330396705
sentiment,direction,shuffled_label_direction,train,ordinary,0,60,0.5,0.05686036472519239,0.7094894144125442
sentiment,direction,shuffled_label_direction,train,ordinary,1,60,0.5,0.08045665423075359,0.8410478950632578
sentiment,direction,shuffled_label_direction,train,ordinary,2,60,0.4666666666666667,0.1469330278535684,0.9243750446771841
sentiment,direction,shuffled_label_direction,train,ordinary,3,60,0.45,0.022805386036634446,0.9430388607926139
sentiment,direction,shuffled_label_direction,train,ordinary,4,60,0.4666666666666667,-0.04560553754369418,0.992700496268746
sentiment,direction,shuffled_label_direction,train,ordinary,5,60,0.48333333333333334,-0.04260468979676565,1.1353989262345738
sentiment,direction,shuffled_label_direction,train,ordinary,6,60,0.5166666666666667,0.033141327649354936,1.2932390109980556
sentiment,direction,shuffled_label_direction,train,ordinary,7,60,0.55,0.20785886347293853,1.4523284189504724
sentiment,direction,shuffled_label_direction,train,ordinary,8,60,0.5833333333333334,0.422682220240434,1.892170218737352
sentiment,direction,shuffled_label_direction,train,ordinary,9,60,0.5666666666666667,0.8675222774346669,2.2188759955094706
sentiment,direction,shuffled_label_direction,train,ordinary,10,60,0.5666666666666667,0.6092367132504781,2.6418187542863967
sentiment,direction,shuffled_label_direction,train,ordinary,11,60,0.5666666666666667,0.9409057935078938,3.3493916082549045
sentiment,direction,direction,heldout,ordinary,0,36,0.5833333333333334,1.4172174725681543,0.5810211615423412
sentiment,direction,direction,heldout,ordinary,1,36,0.6111111111111112,1.734232087309162,0.7093485715647724
sentiment,direction,direction,heldout,ordinary,2,36,0.6944444444444444,2.109359842207697,0.7464913473632871
sentiment,direction,direction,heldout,ordinary,3,36,0.75,2.7690939675602646,0.7143625120384604
sentiment,direction,direction,heldout,ordinary,4,36,0.7777777777777778,3.26228243443701,0.7121619478403217
sentiment,direction,direction,heldout,ordinary,5,36,0.8055555555555556,4.053031942910618,0.769957874150793
sentiment,direction,direction,heldout,ordinary,6,36,0.8888888888888888,4.794901792373922,0.8090018372960593
sentiment,direction,direction,heldout,ordinary,7,36,0.8611111111111112,5.9887459244993,1.020778926040433
sentiment,direction,direction,heldout,ordinary,8,36,0.8888888888888888,7.107015881273481,1.1160783068226767
sentiment,direction,direction,heldout,ordinary,9,36,0.8055555555555556,9.130056556728151,1.7043580384410024
sentiment,direction,direction,heldout,ordinary,10,36,0.75,10.837192800309923,2.2469958500038283
sentiment,direction,direction,heldout,ordinary,11,36,0.7777777777777778,11.981234520673752,2.7823119654350807
sentiment,direction,random_direction,heldout,ordinary,0,36,0.6388888888888888,0.10971279166956048,0.06915915379845831
sentiment,direction,random_direction,heldout,ordinary,1,36,0.5555555555555556,0.004704402019175922,0.06188043211919775
