construct,method,baseline_type,split,decoupling_axis,layer,alpha,n,mean_raw_logit_shift,mean_abs_raw_logit_shift,mean_signed_logit_shift,mean_steered_signed_logit_diff,mean_kl_divergence
sentiment,direction,direction,heldout,ordinary,0,-3.0,24,-0.00010816256205240886,0.01883574326833089,0.0023442904154459634,0.6139652331670126,0.000699004391208291
sentiment,direction,direction,heldout,ordinary,0,-1.0,24,-0.00022939840952555338,0.006065567334493001,0.000729680061340332,0.6123506228129069,7.617206301802071e-05
sentiment,direction,direction,heldout,ordinary,0,0.0,24,0.0,0.0,0.0,0.6116209427515665,0.0
sentiment,direction,direction,heldout,ordinary,0,1.0,24,0.00043255090713500977,0.0059097011884053545,-0.0006789167722066244,0.61094202597936,7.497729711758438e-05
sentiment,direction,direction,heldout,ordinary,0,3.0,24,0.0019333362579345703,0.01738627751668294,-0.0018985668818155925,0.609722375869751,0.0006681369862538608
sentiment,direction,direction,heldout,ordinary,1,-3.0,24,-0.03579151630401611,0.05269670486450195,-0.007162690162658691,0.6044582525889078,0.0016354599089633364
sentiment,direction,direction,heldout,ordinary,1,-1.0,24,-0.011744717756907145,0.017080843448638916,-0.0020403663317362466,0.6095805764198303,0.0001791629301806097
sentiment,direction,direction,heldout,ordinary,1,0.0,24,0.0,0.0,0.0,0.6116209427515665,0.0
sentiment,direction,direction,heldout,ordinary,1,1.0,24,0.011551499366760254,0.016893307367960613,0.0016396443049112956,0.6132605870564779,0.00017759086070630778
sentiment,direction,direction,heldout,ordinary,1,3.0,24,0.03425816694895426,0.05060203870137533,0.003729542096455892,0.6153504848480225,0.001584888016319989
sentiment,direction,direction,heldout,ordinary,2,-3.0,24,-0.06614381074905396,0.07231960693995158,-0.013577401638031006,0.5980435411135355,0.002099645270694358
sentiment,direction,direction,heldout,ordinary,2,-1.0,24,-0.022223552068074543,0.02393647034962972,-0.0037337144215901694,0.6078872283299764,0.0002260075428542526
sentiment,direction,direction,heldout,ordinary,2,0.0,24,0.0,0.0,0.0,0.6116209427515665,0.0
sentiment,direction,direction,heldout,ordinary,2,1.0,24,0.022379398345947266,0.02372904618581136,0.0029331843058268228,0.6145541270573934,0.00021861001672126198
sentiment,direction,direction,heldout,ordinary,2,3.0,24,0.06763784090677898,0.07064509391784668,0.00648645559946696,0.6181073983510336,0.001905846797550718
sentiment,direction,direction,heldout,ordinary,3,-3.0,24,-0.07753501335779826,0.08627464373906453,-0.016935288906097412,0.5946856538454691,0.0018579397631886725
sentiment,direction,direction,heldout,ordinary,3,-1.0,24,-0.025980770587921143,0.02886897325515747,-0.004740734895070394,0.6068802078564962,0.00020286593947578999
sentiment,direction,direction,heldout,ordinary,3,0.0,24,0.0,0.0,0.0,0.6116209427515665,0.0
sentiment,direction,direction,heldout,ordinary,3,1.0,24,0.02606089909871419,0.028886795043945312,0.0038297573725382486,0.6154507001241049,0.00019874153804266825
sentiment,direction,direction,heldout,ordinary,3,3.0,24,0.07825712362925212,0.08641707897186279,0.008805116017659506,0.6204260587692261,0.0017462199757574126
sentiment,direction,direction,heldout,ordinary,4,-3.0,24,-0.09711599349975586,0.10226686795552571,-0.020443439483642578,0.591177503267924,0.002320805336542738
sentiment,direction,direction,heldout,ordinary,4,-1.0,24,-0.03266489505767822,0.0339589516321818,-0.005474646886189778,0.6061462958653768,0.000250224409379977
sentiment,direction,direction,heldout,ordinary,4,0.0,24,0.0,0.0,0.0,0.6116209427515665,0.0
sentiment,direction,direction,heldout,ordinary,4,1.0,24,0.032896339893341064,0.033766369024912514,0.004242599010467529,0.6158635417620341,0.00024276979699304016
sentiment,direction,direction,heldout,ordinary,4,3.0,24,0.0992668867111206,0.10119148095448811,0.009395162264506022,0.6210161050160726,0.0021179337951859147
sentiment,direction,direction,heldout,ordinary,5,-3.0,24,-0.10561400651931763,0.10949947436650594,-0.01783070961634318,0.5937902331352234,0.002239979371855346
sentiment,direction,direction,heldout,ordinary,5,-1.0,24,-0.03574321667353312,0.03674668073654175,-0.004628519217173259,0.6069924235343933,0.00024781762234245736
sentiment,direction,direction,heldout,ordinary,5,0.0,24,0.0,0.0,0.0,0.6116209427515665,0.0
sentiment,direction,direction,heldout,ordinary,5,1.0,24,0.03620960315068563,0.036995112895965576,0.0033046205838521323,0.6149255633354187,0.0002462353380299949
sentiment,direction,direction,heldout,ordinary,5,3.0,24,0.10984142621358235,0.11137068271636963,0.006097634633382161,0.6177185773849487,0.0021986236048784726
sentiment,direction,direction,heldout,ordinary,6,-3.0,24,-0.16878565152486166,0.16878565152486166,-0.017270962397257488,0.5943499803543091,0.0025560805612864592
sentiment,direction,direction,heldout,ordinary,6,-1.0,24,-0.05604579051335653,0.05604579051335653,-0.004559775193532308,0.6070611675580343,0.0002789540970600986
sentiment,direction,direction,heldout,ordinary,6,0.0,24,0.0,0.0,0.0,0.6116209427515665,0.0
sentiment,direction,direction,heldout,ordinary,6,1.0,24,0.055713117122650146,0.055713117122650146,0.0033539732297261557,0.6149749159812927,0.0002736670940066688
sentiment,direction,direction,heldout,ordinary,6,3.0,24,0.1658343474070231,0.1658343474070231,0.006510138511657715,0.6181310812632242,0.002415788573368142
sentiment,direction,direction,heldout,ordinary,7,-3.0,24,-0.1629735231399536,0.1629735231399536,-0.01387349764506022,0.5977474451065063,0.0021700831227159747
sentiment,direction,direction,heldout,ordinary,7,-1.0,24,-0.05406838655471802,0.05406838655471802,-0.003517448902130127,0.6081034938494364,0.0002368394986357695
sentiment,direction,direction,heldout,ordinary,7,0.0,24,0.0,0.0,0.0,0.6116209427515665,0.0
sentiment,direction,direction,heldout,ordinary,7,1.0,24,0.05368232727050781,0.05368232727050781,0.0024286905924479165,0.6140496333440145,0.00023237097290499756
sentiment,direction,direction,heldout,ordinary,7,3.0,24,0.15953602393468222,0.15953602393468222,0.004160543282826741,0.6157814860343933,0.0020507105897801616
sentiment,direction,direction,heldout,ordinary,8,-3.0,24,-0.17956697940826416,0.17956697940826416,-0.02180020014444987,0.5898207426071167,0.0018568085021494578
sentiment,direction,direction,heldout,ordinary,8,-1.0,24,-0.06035067637761434,0.06035067637761434,-0.006743411223093669,0.6048775315284729,0.00020485259240861828
sentiment,direction,direction,heldout,ordinary,8,0.0,24,0.0,0.0,0.0,0.6116209427515665,0.0
sentiment,direction,direction,heldout,ordinary,8,1.0,24,0.06076882282892863,0.06076882282892863,0.00619576374689738,0.617816706498464,0.00020326331771987802
sentiment,direction,direction,heldout,ordinary,8,3.0,24,0.18332135677337646,0.18332135677337646,0.016885757446289062,0.6285067001978556,0.001812124649101558
sentiment,direction,direction,heldout,ordinary,9,-3.0,24,-0.1831193963686625,0.1831193963686625,-0.016740858554840088,0.5948800841967264,0.0012475476202477391
sentiment,direction,direction,heldout,ordinary,9,-1.0,24,-0.06145991881688436,0.06145991881688436,-0.0052164991696675616,0.606404443581899,0.00013850373458505297
sentiment,direction,direction,heldout,ordinary,9,0.0,24,0.0,0.0,0.0,0.6116209427515665,0.0
sentiment,direction,direction,heldout,ordinary,9,1.0,24,0.061841110388437905,0.061841110388437905,0.004834949970245361,0.6164558927218119,0.00013835700156050734
sentiment,direction,direction,heldout,ordinary,9,3.0,24,0.1865442991256714,0.1865442991256714,0.01332235336303711,0.6249432961146036,0.0012420952989486977
sentiment,direction,direction,heldout,ordinary,10,-3.0,24,-0.16869497299194336,0.16869497299194336,-0.007799466451009114,0.6038214763005575,0.0008147146897196459
sentiment,direction,direction,heldout,ordinary,10,-1.0,24,-0.056447883447011314,0.056447883447011314,-0.00243296225865682,0.6091879804929098,9.052457850581656e-05
sentiment,direction,direction,heldout,ordinary,10,0.0,24,0.0,0.0,0.0,0.6116209427515665,0.0
sentiment,direction,direction,heldout,ordinary,10,1.0,24,0.05664642651875814,0.05664642651875814,0.0022574663162231445,0.6138784090677897,9.05555374023e-05
sentiment,direction,direction,heldout,ordinary,10,3.0,24,0.17048484086990356,0.17048484086990356,0.006225287914276123,0.6178462306658427,0.0008140582067426294
sentiment,direction,direction,heldout,ordinary,11,-3.0,24,-0.14557900031407675,0.14557900031407675,0.0014200806617736816,0.6130410234133402,0.0005852310241607483
sentiment,direction,direction,heldout,ordinary,11,-1.0,24,-0.04847592115402222,0.04847592115402222,0.00048055251439412433,0.6121014952659607,6.498120850058815e-05
sentiment,direction,direction,heldout,ordinary,11,0.0,24,0.0,0.0,0.0,0.6116209427515665,0.0
sentiment,direction,direction,heldout,ordinary,11,1.0,24,0.04842567443847656,0.04842567443847656,-0.0004883607228597006,0.6111325820287069,6.488639883173164e-05
sentiment,direction,direction,heldout,ordinary,11,3.0,24,0.14512093861897787,0.14512093861897787,-0.0014859437942504883,0.610134998957316,0.0005829544170410372
sentiment,direction,random_direction,heldout,ordinary,0,-3.0,24,-0.005195240179697673,0.012418766816457113,-0.006400883197784424,0.6052200595537821,0.0001198151070032812
sentiment,direction,random_direction,heldout,ordinary,0,-1.0,24,-0.0017508069674173992,0.004147231578826904,-0.0020952423413594565,0.6095257004102071,1.2839645175214779e-05
sentiment,direction,random_direction,heldout,ordinary,0,0.0,24,0.0,0.0,0.0,0.6116209427515665,0.0
sentiment,direction,random_direction,heldout,ordinary,0,1.0,24,0.0017660856246948242,0.0041433970133463545,0.0020471413930257163,0.6136680841445923,1.2619671148665171e-05
sentiment,direction,random_direction,heldout,ordinary,0,3.0,24,0.005344510078430176,0.01239478588104248,0.00597075621287028,0.6175916989644369,0.00011141926552227233
sentiment,direction,random_direction,heldout,ordinary,1,-3.0,24,-0.0034958720207214355,0.025015294551849365,-0.0008527636528015137,0.610768179098765,0.000392869082740314
sentiment,direction,random_direction,heldout,ordinary,1,-1.0,24,-0.0007988214492797852,0.008403182029724121,-0.00017038981119791666,0.6114505529403687,4.351847989407057e-05
sentiment,direction,random_direction,heldout,ordinary,1,0.0,24,0.0,0.0,0.0,0.6116209427515665,0.0
sentiment,direction,random_direction,heldout,ordinary,1,1.0,24,0.00046865145365397137,0.008449355761210123,5.9723854064941406e-05,0.6116806666056315,4.351715733719175e-05
sentiment,direction,random_direction,heldout,ordinary,1,3.0,24,0.0005122224489847819,0.025424460570017498,-0.00013321638107299805,0.6114877263704935,0.00039322547187718254
sentiment,direction,random_direction,heldout,ordinary,2,-3.0,24,-0.003394782543182373,0.02350685993830363,0.0006424784660339355,0.6122634212176005,0.0011560930743144127
