construct,method,pair_id,decoupling_axis,layer,position,clean_diff,corrupt_diff,patched_diff,recovery
certainty,patching,certainty_heldout_ordinary_001,ordinary,0,0,0.9124164581298828,-0.48369312286376953,-0.48369312286376953,0.0
certainty,patching,certainty_heldout_ordinary_001,ordinary,0,1,0.9124164581298828,-0.48369312286376953,-0.48369693756103516,-2.7323766827171025e-06
certainty,patching,certainty_heldout_ordinary_001,ordinary,0,2,0.9124164581298828,-0.48369312286376953,-0.02916717529296875,0.3255660972165962
certainty,patching,certainty_heldout_ordinary_001,ordinary,0,3,0.9124164581298828,-0.48369312286376953,-0.4959888458251953,-0.008807133142567902
certainty,patching,certainty_heldout_ordinary_001,ordinary,0,4,0.9124164581298828,-0.48369312286376953,0.04898834228515625,0.38154703069210416
certainty,patching,certainty_heldout_ordinary_001,ordinary,0,5,0.9124164581298828,-0.48369312286376953,-0.5773773193359375,-0.06710375585667865
certainty,patching,certainty_heldout_ordinary_001,ordinary,0,6,0.9124164581298828,-0.48369312286376953,-0.18125343322753906,0.21663033744168939
certainty,patching,certainty_heldout_ordinary_001,ordinary,0,7,0.9124164581298828,-0.48369312286376953,0.5274434089660645,0.7242529852922994
certainty,patching,certainty_heldout_ordinary_001,ordinary,1,0,0.9124164581298828,-0.48369312286376953,-0.48369407653808594,-6.830941706792756e-07
certainty,patching,certainty_heldout_ordinary_001,ordinary,1,1,0.9124164581298828,-0.48369312286376953,-0.48369503021240234,-1.3661883413585513e-06
certainty,patching,certainty_heldout_ordinary_001,ordinary,1,2,0.9124164581298828,-0.48369312286376953,0.1127462387084961,0.42721529147286713
certainty,patching,certainty_heldout_ordinary_001,ordinary,1,3,0.9124164581298828,-0.48369312286376953,-0.3067913055419922,0.12671055319015223
certainty,patching,certainty_heldout_ordinary_001,ordinary,1,4,0.9124164581298828,-0.48369312286376953,0.07820415496826172,0.4024736206108638
certainty,patching,certainty_heldout_ordinary_001,ordinary,1,5,0.9124164581298828,-0.48369312286376953,-0.43850135803222656,0.03236978346597884
certainty,patching,certainty_heldout_ordinary_001,ordinary,1,6,0.9124164581298828,-0.48369312286376953,-0.2233428955078125,0.18648265931293023
certainty,patching,certainty_heldout_ordinary_001,ordinary,1,7,0.9124164581298828,-0.48369312286376953,0.5343217849731445,0.7291798019983237
certainty,patching,certainty_heldout_ordinary_001,ordinary,2,0,0.9124164581298828,-0.48369312286376953,-0.48369503021240234,-1.3661883413585513e-06
certainty,patching,certainty_heldout_ordinary_001,ordinary,2,1,0.9124164581298828,-0.48369312286376953,-0.48369407653808594,-6.830941706792756e-07
certainty,patching,certainty_heldout_ordinary_001,ordinary,2,2,0.9124164581298828,-0.48369312286376953,0.05986213684082031,0.3893356704261893
certainty,patching,certainty_heldout_ordinary_001,ordinary,2,3,0.9124164581298828,-0.48369312286376953,-0.20025348663330078,0.20302105227924616
certainty,patching,certainty_heldout_ordinary_001,ordinary,2,4,0.9124164581298828,-0.48369312286376953,-0.01253509521484375,0.33747925955324276
certainty,patching,certainty_heldout_ordinary_001,ordinary,2,5,0.9124164581298828,-0.48369312286376953,-0.1322317123413086,0.25174342709711617
certainty,patching,certainty_heldout_ordinary_001,ordinary,2,6,0.9124164581298828,-0.48369312286376953,-0.22559070587158203,0.18487260635263916
certainty,patching,certainty_heldout_ordinary_001,ordinary,2,7,0.9124164581298828,-0.48369312286376953,-1.2164483070373535,-0.5248550644943362
certainty,patching,certainty_heldout_ordinary_001,ordinary,3,0,0.9124164581298828,-0.48369312286376953,-0.48369503021240234,-1.3661883413585513e-06
certainty,patching,certainty_heldout_ordinary_001,ordinary,3,1,0.9124164581298828,-0.48369312286376953,-0.48369503021240234,-1.3661883413585513e-06
certainty,patching,certainty_heldout_ordinary_001,ordinary,3,2,0.9124164581298828,-0.48369312286376953,-0.026884078979492188,0.3272014246612024
certainty,patching,certainty_heldout_ordinary_001,ordinary,3,3,0.9124164581298828,-0.48369312286376953,0.0070858001708984375,0.3515332390207982
certainty,patching,certainty_heldout_ordinary_001,ordinary,3,4,0.9124164581298828,-0.48369312286376953,-0.21459579467773438,0.19274799904640053
certainty,patching,certainty_heldout_ordinary_001,ordinary,3,5,0.9124164581298828,-0.48369312286376953,-0.13258838653564453,0.2514879498772821
certainty,patching,certainty_heldout_ordinary_001,ordinary,3,6,0.9124164581298828,-0.48369312286376953,-0.206512451171875,0.19853790523707807
certainty,patching,certainty_heldout_ordinary_001,ordinary,3,7,0.9124164581298828,-0.48369312286376953,-1.3131446838378906,-0.5941163732891053
certainty,patching,certainty_heldout_ordinary_001,ordinary,4,0,0.9124164581298828,-0.48369312286376953,-0.4836921691894531,6.830941706792756e-07
certainty,patching,certainty_heldout_ordinary_001,ordinary,4,1,0.9124164581298828,-0.48369312286376953,-0.4836921691894531,6.830941706792756e-07
certainty,patching,certainty_heldout_ordinary_001,ordinary,4,2,0.9124164581298828,-0.48369312286376953,-0.14309120178222656,0.24396503377559126
certainty,patching,certainty_heldout_ordinary_001,ordinary,4,3,0.9124164581298828,-0.48369312286376953,0.07777595520019531,0.4021669113282288
certainty,patching,certainty_heldout_ordinary_001,ordinary,4,4,0.9124164581298828,-0.48369312286376953,-0.2217121124267578,0.18765075034479178
certainty,patching,certainty_heldout_ordinary_001,ordinary,4,5,0.9124164581298828,-0.48369312286376953,-0.29601383209228516,0.13443020041299875
certainty,patching,certainty_heldout_ordinary_001,ordinary,4,6,0.9124164581298828,-0.48369312286376953,-0.181854248046875,0.21619998811416144
certainty,patching,certainty_heldout_ordinary_001,ordinary,4,7,0.9124164581298828,-0.48369312286376953,-1.170426368713379,-0.491890647552781
certainty,patching,certainty_heldout_ordinary_001,ordinary,5,0,0.9124164581298828,-0.48369312286376953,-0.48369312286376953,0.0
certainty,patching,certainty_heldout_ordinary_001,ordinary,5,1,0.9124164581298828,-0.48369312286376953,-0.48369312286376953,0.0
certainty,patching,certainty_heldout_ordinary_001,ordinary,5,2,0.9124164581298828,-0.48369312286376953,-0.16655826568603516,0.22715613551768632
certainty,patching,certainty_heldout_ordinary_001,ordinary,5,3,0.9124164581298828,-0.48369312286376953,-0.11821365356445312,0.2617842283119309
certainty,patching,certainty_heldout_ordinary_001,ordinary,5,4,0.9124164581298828,-0.48369312286376953,-0.22249794006347656,0.18708788074815205
certainty,patching,certainty_heldout_ordinary_001,ordinary,5,5,0.9124164581298828,-0.48369312286376953,-0.30789661407470703,0.12591884704633496
certainty,patching,certainty_heldout_ordinary_001,ordinary,5,6,0.9124164581298828,-0.48369312286376953,-0.19616127014160156,0.20595220936563094
certainty,patching,certainty_heldout_ordinary_001,ordinary,5,7,0.9124164581298828,-0.48369312286376953,-1.1062383651733398,-0.44591431130104164
certainty,patching,certainty_heldout_ordinary_001,ordinary,6,0,0.9124164581298828,-0.48369312286376953,-0.48369407653808594,-6.830941706792756e-07
certainty,patching,certainty_heldout_ordinary_001,ordinary,6,1,0.9124164581298828,-0.48369312286376953,-0.48369312286376953,0.0
certainty,patching,certainty_heldout_ordinary_001,ordinary,6,2,0.9124164581298828,-0.48369312286376953,-0.2717275619506836,0.15182587656351718
certainty,patching,certainty_heldout_ordinary_001,ordinary,6,3,0.9124164581298828,-0.48369312286376953,-0.26243114471435547,0.15848467853929876
certainty,patching,certainty_heldout_ordinary_001,ordinary,6,4,0.9124164581298828,-0.48369312286376953,-0.17167186737060547,0.22349338457450404
certainty,patching,certainty_heldout_ordinary_001,ordinary,6,5,0.9124164581298828,-0.48369312286376953,-0.3115863800048828,0.12327595569997685
certainty,patching,certainty_heldout_ordinary_001,ordinary,6,6,0.9124164581298828,-0.48369312286376953,-0.23340511322021484,0.17927533271809318
certainty,patching,certainty_heldout_ordinary_001,ordinary,6,7,0.9124164581298828,-0.48369312286376953,-0.7833318710327148,-0.21462408986240433
certainty,patching,certainty_heldout_ordinary_001,ordinary,7,0,0.9124164581298828,-0.48369312286376953,-0.48369312286376953,0.0
certainty,patching,certainty_heldout_ordinary_001,ordinary,7,1,0.9124164581298828,-0.48369312286376953,-0.4836912155151367,1.3661883413585513e-06
certainty,patching,certainty_heldout_ordinary_001,ordinary,7,2,0.9124164581298828,-0.48369312286376953,-0.3472709655761719,0.09771593802149971
certainty,patching,certainty_heldout_ordinary_001,ordinary,7,3,0.9124164581298828,-0.48369312286376953,-0.2952251434326172,0.1349951192921505
certainty,patching,certainty_heldout_ordinary_001,ordinary,7,4,0.9124164581298828,-0.48369312286376953,-0.2529783248901367,0.16525550795907173
certainty,patching,certainty_heldout_ordinary_001,ordinary,7,5,0.9124164581298828,-0.48369312286376953,-0.26326656341552734,0.1578862880457837
certainty,patching,certainty_heldout_ordinary_001,ordinary,7,6,0.9124164581298828,-0.48369312286376953,-0.2429370880126953,0.17244780648215383
certainty,patching,certainty_heldout_ordinary_001,ordinary,7,7,0.9124164581298828,-0.48369312286376953,-0.45633602142333984,0.0195952393801057
certainty,patching,certainty_heldout_ordinary_001,ordinary,8,0,0.9124164581298828,-0.48369312286376953,-0.4836921691894531,6.830941706792756e-07
certainty,patching,certainty_heldout_ordinary_001,ordinary,8,1,0.9124164581298828,-0.48369312286376953,-0.48369312286376953,0.0
certainty,patching,certainty_heldout_ordinary_001,ordinary,8,2,0.9124164581298828,-0.48369312286376953,-0.3890800476074219,0.06776908957892026
certainty,patching,certainty_heldout_ordinary_001,ordinary,8,3,0.9124164581298828,-0.48369312286376953,-0.39882850646972656,0.0607865009662367
certainty,patching,certainty_heldout_ordinary_001,ordinary,8,4,0.9124164581298828,-0.48369312286376953,-0.2960929870605469,0.13437350359683237
certainty,patching,certainty_heldout_ordinary_001,ordinary,8,5,0.9124164581298828,-0.48369312286376953,-0.37411022186279297,0.07849161877607284
certainty,patching,certainty_heldout_ordinary_001,ordinary,8,6,0.9124164581298828,-0.48369312286376953,-0.4049072265625,0.056432458722327
certainty,patching,certainty_heldout_ordinary_001,ordinary,8,7,0.9124164581298828,-0.48369312286376953,-0.2912750244140625,0.13782449534710406
certainty,patching,certainty_heldout_ordinary_001,ordinary,9,0,0.9124164581298828,-0.48369312286376953,-0.4836921691894531,6.830941706792756e-07
certainty,patching,certainty_heldout_ordinary_001,ordinary,9,1,0.9124164581298828,-0.48369312286376953,-0.48369312286376953,0.0
certainty,patching,certainty_heldout_ordinary_001,ordinary,9,2,0.9124164581298828,-0.48369312286376953,-0.4585590362548828,0.01800294686825231
certainty,patching,certainty_heldout_ordinary_001,ordinary,9,3,0.9124164581298828,-0.48369312286376953,-0.4531707763671875,0.021862428932590217
certainty,patching,certainty_heldout_ordinary_001,ordinary,9,4,0.9124164581298828,-0.48369312286376953,-0.44445133209228516,0.028107958935110835
certainty,patching,certainty_heldout_ordinary_001,ordinary,9,5,0.9124164581298828,-0.48369312286376953,-0.4881429672241211,-0.0031873174003895005
certainty,patching,certainty_heldout_ordinary_001,ordinary,9,6,0.9124164581298828,-0.48369312286376953,-0.4724092483520508,0.00808237022747719
certainty,patching,certainty_heldout_ordinary_001,ordinary,9,7,0.9124164581298828,-0.48369312286376953,-0.30001258850097656,0.13156598655534052
certainty,patching,certainty_heldout_ordinary_001,ordinary,10,0,0.9124164581298828,-0.48369312286376953,-0.48369407653808594,-6.830941706792756e-07
certainty,patching,certainty_heldout_ordinary_001,ordinary,10,1,0.9124164581298828,-0.48369312286376953,-0.48369312286376953,0.0
certainty,patching,certainty_heldout_ordinary_001,ordinary,10,2,0.9124164581298828,-0.48369312286376953,-0.4839906692504883,-0.000213125381251934
certainty,patching,certainty_heldout_ordinary_001,ordinary,10,3,0.9124164581298828,-0.48369312286376953,-0.47721004486083984,0.004643674172277716
certainty,patching,certainty_heldout_ordinary_001,ordinary,10,4,0.9124164581298828,-0.48369312286376953,-0.46891307830810547,0.010586593457187415
certainty,patching,certainty_heldout_ordinary_001,ordinary,10,5,0.9124164581298828,-0.48369312286376953,-0.5198812484741211,-0.025920691400595795
certainty,patching,certainty_heldout_ordinary_001,ordinary,10,6,0.9124164581298828,-0.48369312286376953,-0.47306156158447266,0.007615133814732565
certainty,patching,certainty_heldout_ordinary_001,ordinary,10,7,0.9124164581298828,-0.48369312286376953,-0.3737154006958008,0.07877441976273407
certainty,patching,certainty_heldout_ordinary_001,ordinary,11,0,0.9124164581298828,-0.48369312286376953,-0.48369312286376953,0.0
certainty,patching,certainty_heldout_ordinary_001,ordinary,11,1,0.9124164581298828,-0.48369312286376953,-0.48369312286376953,0.0
certainty,patching,certainty_heldout_ordinary_001,ordinary,11,2,0.9124164581298828,-0.48369312286376953,-0.48369312286376953,0.0
certainty,patching,certainty_heldout_ordinary_001,ordinary,11,3,0.9124164581298828,-0.48369312286376953,-0.48369312286376953,0.0
certainty,patching,certainty_heldout_ordinary_001,ordinary,11,4,0.9124164581298828,-0.48369312286376953,-0.48369312286376953,0.0
certainty,patching,certainty_heldout_ordinary_001,ordinary,11,5,0.9124164581298828,-0.48369312286376953,-0.48369312286376953,0.0
certainty,patching,certainty_heldout_ordinary_001,ordinary,11,6,0.9124164581298828,-0.48369312286376953,-0.48369312286376953,0.0
