construct,method,pair_id,decoupling_axis,layer,position,clean_diff,corrupt_diff,patched_diff,recovery
sentiment,patching,sentiment_heldout_ordinary_001,ordinary,0,0,1.9799447059631348,1.3232107162475586,1.3232107162475586,0.0
sentiment,patching,sentiment_heldout_ordinary_001,ordinary,0,1,1.9799447059631348,1.3232107162475586,1.9222087860107422,0.9120862923854492
sentiment,patching,sentiment_heldout_ordinary_001,ordinary,0,2,1.9799447059631348,1.3232107162475586,1.347198486328125,0.03652585438886029
sentiment,patching,sentiment_heldout_ordinary_001,ordinary,0,3,1.9799447059631348,1.3232107162475586,1.3098669052124023,-0.020318441323457767
sentiment,patching,sentiment_heldout_ordinary_001,ordinary,1,0,1.9799447059631348,1.3232107162475586,1.3232107162475586,0.0
sentiment,patching,sentiment_heldout_ordinary_001,ordinary,1,1,1.9799447059631348,1.3232107162475586,1.887937068939209,0.8599012104371616
sentiment,patching,sentiment_heldout_ordinary_001,ordinary,1,2,1.9799447059631348,1.3232107162475586,1.3478431701660156,0.037507505784990756
sentiment,patching,sentiment_heldout_ordinary_001,ordinary,1,3,1.9799447059631348,1.3232107162475586,1.292224407196045,-0.047182435410315034
sentiment,patching,sentiment_heldout_ordinary_001,ordinary,2,0,1.9799447059631348,1.3232107162475586,1.3232107162475586,0.0
sentiment,patching,sentiment_heldout_ordinary_001,ordinary,2,1,1.9799447059631348,1.3232107162475586,1.7767796516418457,0.6906433083975485
sentiment,patching,sentiment_heldout_ordinary_001,ordinary,2,2,1.9799447059631348,1.3232107162475586,1.4255805015563965,0.15587709317919277
sentiment,patching,sentiment_heldout_ordinary_001,ordinary,2,3,1.9799447059631348,1.3232107162475586,1.2554473876953125,-0.1031823076213759
sentiment,patching,sentiment_heldout_ordinary_001,ordinary,3,0,1.9799447059631348,1.3232107162475586,1.3232107162475586,0.0
sentiment,patching,sentiment_heldout_ordinary_001,ordinary,3,1,1.9799447059631348,1.3232107162475586,1.6163663864135742,0.446384190184793
sentiment,patching,sentiment_heldout_ordinary_001,ordinary,3,2,1.9799447059631348,1.3232107162475586,1.4923639297485352,0.2575673197213911
sentiment,patching,sentiment_heldout_ordinary_001,ordinary,3,3,1.9799447059631348,1.3232107162475586,1.2437553405761719,-0.12098563027900827
sentiment,patching,sentiment_heldout_ordinary_001,ordinary,4,0,1.9799447059631348,1.3232107162475586,1.3232107162475586,0.0
sentiment,patching,sentiment_heldout_ordinary_001,ordinary,4,1,1.9799447059631348,1.3232107162475586,1.4965810775756836,0.2639887139132386
sentiment,patching,sentiment_heldout_ordinary_001,ordinary,4,2,1.9799447059631348,1.3232107162475586,1.4995861053466797,0.2685644292227165
sentiment,patching,sentiment_heldout_ordinary_001,ordinary,4,3,1.9799447059631348,1.3232107162475586,1.2080793380737305,-0.17530899873735814
sentiment,patching,sentiment_heldout_ordinary_001,ordinary,5,0,1.9799447059631348,1.3232107162475586,1.3232107162475586,0.0
sentiment,patching,sentiment_heldout_ordinary_001,ordinary,5,1,1.9799447059631348,1.3232107162475586,1.560678482055664,0.36158896832939924
sentiment,patching,sentiment_heldout_ordinary_001,ordinary,5,2,1.9799447059631348,1.3232107162475586,1.4866447448730469,0.24885879394832244
sentiment,patching,sentiment_heldout_ordinary_001,ordinary,5,3,1.9799447059631348,1.3232107162475586,1.2277183532714844,-0.1454049348312714
sentiment,patching,sentiment_heldout_ordinary_001,ordinary,6,0,1.9799447059631348,1.3232107162475586,1.3232107162475586,0.0
sentiment,patching,sentiment_heldout_ordinary_001,ordinary,6,1,1.9799447059631348,1.3232107162475586,1.2963805198669434,-0.04085397862875208
sentiment,patching,sentiment_heldout_ordinary_001,ordinary,6,2,1.9799447059631348,1.3232107162475586,1.466966152191162,0.2188944659402543
sentiment,patching,sentiment_heldout_ordinary_001,ordinary,6,3,1.9799447059631348,1.3232107162475586,1.5194549560546875,0.298818460564406
sentiment,patching,sentiment_heldout_ordinary_001,ordinary,7,0,1.9799447059631348,1.3232107162475586,1.3232107162475586,0.0
sentiment,patching,sentiment_heldout_ordinary_001,ordinary,7,1,1.9799447059631348,1.3232107162475586,1.4465155601501465,0.18775462490679032
sentiment,patching,sentiment_heldout_ordinary_001,ordinary,7,2,1.9799447059631348,1.3232107162475586,1.5213556289672852,0.301712589606548
sentiment,patching,sentiment_heldout_ordinary_001,ordinary,7,3,1.9799447059631348,1.3232107162475586,1.4468512535095215,0.18826578066335528
sentiment,patching,sentiment_heldout_ordinary_001,ordinary,8,0,1.9799447059631348,1.3232107162475586,1.3232107162475586,0.0
sentiment,patching,sentiment_heldout_ordinary_001,ordinary,8,1,1.9799447059631348,1.3232107162475586,1.4305410385131836,0.16343043598536527
