construct,method,split,decoupling_axis,layer,n,accuracy,mean_signed_probe_score,signed_probe_score_se,direction_accuracy_reference,direction_mean_signed_projection_reference
certainty,probe,train,ordinary,0,60,1.0,0.37893658777077993,0.00846588504263826,0.6666666666666666,0.3885679853459199
certainty,probe,train,ordinary,1,60,1.0,0.38499440749486286,0.00835362070313081,0.6833333333333333,0.4526666708290577
certainty,probe,train,ordinary,2,60,1.0,0.38700456569592157,0.009052111886584691,0.65,0.6148707884053389
certainty,probe,train,ordinary,3,60,1.0,0.4152137666940689,0.007607599401483175,0.6666666666666666,0.8822981429596742
certainty,probe,train,ordinary,4,60,1.0,0.42423592805862426,0.005985029918963739,0.6166666666666667,1.1224711080392202
certainty,probe,train,ordinary,5,60,1.0,0.43218858192364373,0.005486142742630493,0.6833333333333333,1.4052687083681425
certainty,probe,train,ordinary,6,60,1.0,0.46199289510647457,0.004247349888864485,0.75,2.4321094272037347
certainty,probe,train,ordinary,7,60,1.0,0.46283813565969467,0.004762497340258858,0.75,3.4256474753220876
certainty,probe,train,ordinary,8,60,1.0,0.46617311934630073,0.004172037102518527,0.8166666666666667,4.8264338632424675
certainty,probe,train,ordinary,9,60,1.0,0.4680640896161397,0.003733405893158951,0.7833333333333333,6.739457738399506
certainty,probe,train,ordinary,10,60,1.0,0.46819001585245135,0.0037758253248640836,0.7666666666666667,8.673081963260968
certainty,probe,train,ordinary,11,60,1.0,0.4684944902857145,0.0037586137433039337,0.7,11.069556935628254
certainty,probe,heldout,ordinary,0,36,0.8333333333333334,0.21575444688399634,0.05426854012562329,0.5555555555555556,0.3326958190235827
certainty,probe,heldout,ordinary,1,36,0.6944444444444444,0.2061544805765152,0.055981159271834245,0.7222222222222222,0.3685077681309647
certainty,probe,heldout,ordinary,2,36,0.6388888888888888,0.12257871859603459,0.06526738118492591,0.6388888888888888,0.3921058666374948
certainty,probe,heldout,ordinary,3,36,0.6111111111111112,0.14933943500121435,0.06414312067672187,0.6666666666666666,0.6152845256858401
certainty,probe,heldout,ordinary,4,36,0.75,0.21397773093647426,0.05606830823927982,0.5555555555555556,0.7949053463008668
certainty,probe,heldout,ordinary,5,36,0.7222222222222222,0.19236064039998585,0.06231226742313022,0.6111111111111112,1.0404823174079258
certainty,probe,heldout,ordinary,6,36,0.8055555555555556,0.273112619916598,0.051456966674795546,0.7222222222222222,1.848996438913875
certainty,probe,heldout,ordinary,7,36,0.8055555555555556,0.2828259203169081,0.060339280877324014,0.8055555555555556,2.8907587395773993
certainty,probe,heldout,ordinary,8,36,0.75,0.27637262725167805,0.05835208877025253,0.8055555555555556,4.310264882114199
certainty,probe,heldout,ordinary,9,36,0.8055555555555556,0.28075207273165387,0.05617030843093653,0.75,5.9227714952495365
certainty,probe,heldout,ordinary,10,36,0.75,0.25782576700051624,0.05988669559063089,0.7777777777777778,7.555909353825781
certainty,probe,heldout,ordinary,11,36,0.7222222222222222,0.25614557498031193,0.055799276756859445,0.6944444444444444,8.47410115516848
certainty,probe,decoupling,lexical_reversal,0,12,0.5,0.030153358976046245,0.13653596349413824,0.5,0.164103036125501
certainty,probe,decoupling,lexical_reversal,1,12,0.5833333333333334,0.032368155817190804,0.1338134911376034,0.4166666666666667,0.1730774069825808
certainty,probe,decoupling,lexical_reversal,2,12,0.5833333333333334,0.0903905803958575,0.12510469640996288,0.75,0.26832395792007446
certainty,probe,decoupling,lexical_reversal,3,12,0.5833333333333334,0.04071627805630366,0.1140585573707588,0.5833333333333334,0.5253333250681559
certainty,probe,decoupling,lexical_reversal,4,12,0.4166666666666667,-0.041642737885316215,0.13602902251817586,0.6666666666666666,0.3710646256804466
certainty,probe,decoupling,lexical_reversal,5,12,0.5,-0.04133192698160807,0.1286183746062661,0.6666666666666666,0.13988637179136276
certainty,probe,decoupling,lexical_reversal,6,12,0.5,-0.028847152988115948,0.12447633692050337,0.5833333333333334,0.46533820033073425
certainty,probe,decoupling,lexical_reversal,7,12,0.5,0.082304281493028,0.11613374220982849,0.5833333333333334,1.2604861905177434
certainty,probe,decoupling,lexical_reversal,8,12,0.75,0.1905540774265925,0.10752808082549854,0.6666666666666666,2.861912195881208
certainty,probe,decoupling,lexical_reversal,9,12,0.8333333333333334,0.2565888787309329,0.09944706303220101,0.75,4.984812557697296
certainty,probe,decoupling,lexical_reversal,10,12,0.75,0.24700934191544852,0.10696176833720565,0.75,6.8551649649937945
certainty,probe,decoupling,lexical_reversal,11,12,0.75,0.20753336946169534,0.11565502795665139,0.5,7.899078478415807
certainty,probe,decoupling,negation,0,12,0.5,-0.004366966585318248,0.14917280021719342,0.5,-0.15445332477490106
certainty,probe,decoupling,negation,1,12,0.4166666666666667,-0.029734507203102112,0.1348279504113889,0.5,-0.11950766543547313
certainty,probe,decoupling,negation,2,12,0.5,0.0009848897655804951,0.1504285172123839,0.5,-0.11905378103256226
certainty,probe,decoupling,negation,3,12,0.5,0.002795527378718058,0.14303160585933308,0.5,-0.25730949143568677
certainty,probe,decoupling,negation,4,12,0.5,-0.0004371429483095805,0.1491117340591212,0.5,-0.12893507877985635
certainty,probe,decoupling,negation,5,12,0.5,0.015769869089126587,0.1301792644839332,0.5,-0.14178448915481567
certainty,probe,decoupling,negation,6,12,0.5,0.029388296107451122,0.13504724422247275,0.5833333333333334,0.7506595353285471
certainty,probe,decoupling,negation,7,12,0.75,0.23404616117477417,0.09323946811587037,0.6666666666666666,1.9178579300642014
certainty,probe,decoupling,negation,8,12,0.6666666666666666,0.24685935427745184,0.08754477656136707,0.5833333333333334,3.10951030254364
certainty,probe,decoupling,negation,9,12,0.9166666666666666,0.34953126062949497,0.07797102634027943,0.8333333333333334,4.678524494171143
certainty,probe,decoupling,negation,10,12,0.9166666666666666,0.3546987424294154,0.0806757397423787,0.8333333333333334,5.626737495263417
certainty,probe,decoupling,negation,11,12,0.9166666666666666,0.3576126794020335,0.06646763076498666,0.5833333333333334,6.133458534876506
certainty,probe,decoupling,quotation,0,12,0.4166666666666667,-0.037260666489601135,0.13491284147045648,0.5,-0.14015825589497885
certainty,probe,decoupling,quotation,1,12,0.5,-0.028227530419826508,0.1316811280064784,0.5,-0.13407432536284128
certainty,probe,decoupling,quotation,2,12,0.5,-0.0006715307633082072,0.15022360310559807,0.5,-0.09396615127722423
certainty,probe,decoupling,quotation,3,12,0.5,-0.00265615185101827,0.14891639725579361,0.5,-0.091890553633372
