construct,method,split,decoupling_axis,layer,n,accuracy,mean_signed_probe_score,signed_probe_score_se,direction_accuracy_reference,direction_mean_signed_projection_reference
sentiment,probe,train,ordinary,0,60,1.0,0.433152503768603,0.00643277913889326,0.5833333333333334,0.9591385463873545
sentiment,probe,train,ordinary,1,60,1.0,0.43742014716068905,0.006245255319469907,0.55,1.1467033772418895
sentiment,probe,train,ordinary,2,60,1.0,0.45554466446240743,0.004254389960742827,0.6833333333333333,1.549284310018023
sentiment,probe,train,ordinary,3,60,1.0,0.4695990766088168,0.003325786690793861,0.7333333333333333,2.115068203707536
sentiment,probe,train,ordinary,4,60,1.0,0.47531295915444693,0.0030082296842776518,0.8,2.6673546895384788
sentiment,probe,train,ordinary,5,60,1.0,0.47719912479321164,0.0033267507552951605,0.8,3.3553797867149115
sentiment,probe,train,ordinary,6,60,1.0,0.4827862665057182,0.0026779672297715064,0.8666666666666667,4.543582183122635
sentiment,probe,train,ordinary,7,60,1.0,0.4837035099665324,0.0027939887259751336,0.8333333333333334,6.094395272930464
sentiment,probe,train,ordinary,8,60,1.0,0.48400536328554156,0.002611997157629429,0.85,7.80354962448279
sentiment,probe,train,ordinary,9,60,1.0,0.4841096967458725,0.002713468484826456,0.8333333333333334,10.60863128999869
sentiment,probe,train,ordinary,10,60,1.0,0.48430603990952176,0.0024556682536494524,0.8333333333333334,13.082792584101359
sentiment,probe,train,ordinary,11,60,1.0,0.48368492076794306,0.00258458595599844,0.7166666666666667,15.674469590187073
sentiment,probe,heldout,ordinary,0,36,0.8888888888888888,0.3361250311136246,0.041735136434453146,0.5833333333333334,1.4172174725681543
sentiment,probe,heldout,ordinary,1,36,0.8888888888888888,0.3688173095385234,0.03249925725526155,0.6111111111111112,1.734232087309162
sentiment,probe,heldout,ordinary,2,36,0.8888888888888888,0.33819030390845406,0.038048328175952495,0.6944444444444444,2.109359842207697
sentiment,probe,heldout,ordinary,3,36,0.9166666666666666,0.3933687334259351,0.034544377004574835,0.75,2.7690939675602646
sentiment,probe,heldout,ordinary,4,36,0.9444444444444444,0.3710910379886627,0.03830970496230137,0.7777777777777778,3.26228243443701
sentiment,probe,heldout,ordinary,5,36,0.8611111111111112,0.3766560223367479,0.0347018401660635,0.8055555555555556,4.053031942910618
sentiment,probe,heldout,ordinary,6,36,0.9444444444444444,0.3834056572781669,0.0344613070554109,0.8888888888888888,4.794901792373922
sentiment,probe,heldout,ordinary,7,36,0.9444444444444444,0.3725562062528398,0.03572890392566649,0.8611111111111112,5.9887459244993
sentiment,probe,heldout,ordinary,8,36,0.8888888888888888,0.3640187167459064,0.04216504165014511,0.8888888888888888,7.107015881273481
sentiment,probe,heldout,ordinary,9,36,0.8611111111111112,0.33087946226199466,0.05161519629414074,0.8055555555555556,9.130056556728151
sentiment,probe,heldout,ordinary,10,36,0.8611111111111112,0.34262878364986843,0.0476013636779872,0.75,10.837192800309923
sentiment,probe,heldout,ordinary,11,36,0.8888888888888888,0.3460303602947129,0.045271642447209666,0.7777777777777778,11.981234520673752
sentiment,probe,decoupling,lexical_reversal,0,12,0.5,-0.0002161910136540731,0.15014818892386314,0.5,-0.02242642641067505
sentiment,probe,decoupling,lexical_reversal,1,12,0.5,-0.002416178584098816,0.14996279260957177,0.5,-0.13909082611401877
sentiment,probe,decoupling,lexical_reversal,2,12,0.4166666666666667,-0.05206028123696645,0.137440467855053,0.5,-0.25176985313495
sentiment,probe,decoupling,lexical_reversal,3,12,0.5,-0.06798929224411647,0.11315044458683814,0.5,-0.20897231002648672
sentiment,probe,decoupling,lexical_reversal,4,12,0.4166666666666667,-0.08129465579986572,0.08590372812329082,0.5,-0.2247981851299604
sentiment,probe,decoupling,lexical_reversal,5,12,0.5,-0.016949137051900227,0.12265555740381501,0.5833333333333334,-0.0044603049755096436
sentiment,probe,decoupling,lexical_reversal,6,12,0.3333333333333333,-0.11224987357854843,0.0795502407930396,0.3333333333333333,-0.3878515263398488
sentiment,probe,decoupling,lexical_reversal,7,12,0.6666666666666666,0.11383426189422607,0.10023448174790167,0.4166666666666667,-0.1537051498889923
