construct,method,evaluation_axis,status,value,selected_layer
certainty,direction,ordinary_heldout,pass,0.8055555555555556,8.0
certainty,direction,lexical_reversal,weak,0.6666666666666666,8.0
certainty,direction,negation,weak,0.5833333333333334,8.0
certainty,direction,quotation,weak,0.5833333333333334,8.0
certainty,direction,contrast,weak,0.6666666666666666,8.0
certainty,direction,format_shift,pass,0.8333333333333334,8.0
certainty,direction,causal_steering,weak,0.2447918057441711,8.0
certainty,direction,specificity,pass,0.0026082966190490503,8.0
certainty,probe,ordinary_heldout,pass,0.8333333333333334,0.0
certainty,probe,lexical_reversal,fail,0.5,0.0
certainty,probe,negation,fail,0.5,0.0
certainty,probe,quotation,fail,0.4166666666666667,0.0
certainty,probe,contrast,fail,0.5,0.0
certainty,probe,format_shift,weak,0.6666666666666666,0.0
certainty,probe,causal_steering,not_applicable,,0.0
certainty,probe,specificity,not_applicable,,0.0
certainty,patching,ordinary_heldout,pass,0.8118048379922896,
certainty,patching,lexical_reversal,pass,0.8423441674895497,
certainty,patching,negation,pass,1.0,
certainty,patching,quotation,pass,1.0,
certainty,patching,contrast,pass,1.0,
certainty,patching,format_shift,pass,0.7931608532861358,
certainty,patching,causal_steering,not_applicable,,
certainty,patching,specificity,weak,0.5,
sentiment,direction,ordinary_heldout,pass,0.8888888888888888,8.0
sentiment,direction,lexical_reversal,fail,0.5,8.0
sentiment,direction,negation,pass,0.9166666666666666,8.0
sentiment,direction,quotation,weak,0.5833333333333334,8.0
sentiment,direction,contrast,fail,0.3333333333333333,8.0
sentiment,direction,format_shift,weak,0.5833333333333334,8.0
sentiment,direction,causal_steering,fail,0.1833213567733764,8.0
sentiment,direction,specificity,pass,0.00183446657562545,8.0
sentiment,probe,ordinary_heldout,pass,0.9444444444444444,6.0
sentiment,probe,lexical_reversal,fail,0.3333333333333333,6.0
sentiment,probe,negation,fail,0.5,6.0
sentiment,probe,quotation,fail,0.4166666666666667,6.0
sentiment,probe,contrast,fail,0.25,6.0
sentiment,probe,format_shift,weak,0.5833333333333334,6.0
sentiment,probe,causal_steering,not_applicable,,6.0
sentiment,probe,specificity,not_applicable,,6.0
sentiment,patching,ordinary_heldout,pass,1.0,
sentiment,patching,lexical_reversal,pass,1.0,
sentiment,patching,negation,pass,1.0,
sentiment,patching,quotation,pass,1.0,
sentiment,patching,contrast,pass,0.7525656376048435,
sentiment,patching,format_shift,pass,1.0,
sentiment,patching,causal_steering,not_applicable,,
sentiment,patching,specificity,weak,0.5,
